
Image Name                     PID Session Name        Session#    Mem Usage
taskhostw.exe                10436 Console                    9     19,568 K
ctfmon.exe                    8260 Console                    9     23,144 K
svchost.exe                   6208 Console                    9     29,192 K
StartMenuExperienceHost.e    11608 Console                    9     81,352 K
RuntimeBroker.exe            17960 Console                    9     28,096 K
RuntimeBroker.exe             4960 Console                    9     50,036 K
TabTip.exe                    3620 Console                    9     28,960 K
TextInputHost.exe            15388 Console                    9     51,068 K
dllhost.exe                   3908 Console                    9     15,872 K
SecurityHealthSystray.exe    13272 Console                    9      9,452 K
RtkAudUService64.exe         15452 Console                    9      8,784 K
cytray.exe                    9876 Console                    9      7,988 K
OneDrive.exe                 14776 Console                    9     63,744 K
Slack.exe                     9416 Console                    9   1,22,116 K
Slack.exe                    11456 Console                    9     29,092 K
Slack.exe                    13984 Console                    9   1,12,600 K
Slack.exe                    13860 Console                    9     34,252 K
Slack.exe                     8424 Console                    9   2,44,384 K
ApplicationFrameHost.exe     13204 Console                    9     38,912 K
UserOOBEBroker.exe            6000 Console                    9      9,748 K
svchost.exe                  13884 Console                    9     23,884 K
Slack.exe                     9344 Console                    9     56,508 K
ShellExperienceHost.exe      14064 Console                    9     56,000 K
RuntimeBroker.exe            16536 Console                    9     34,292 K
LockApp.exe                   9392 Console                    9     52,416 K
RuntimeBroker.exe            15368 Console                    9     38,572 K
Microsoft.SharePoint.exe     17384 Console                    9      7,232 K
svchost.exe                  10108 Services                   0      9,036 K
SearchApp.exe                16584 Console                    9     97,096 K
CompPkgSrv.exe                9104 Console                    9      8,944 K
SDXHelper.exe                17396 Console                    9     25,652 K
RuntimeBroker.exe             5788 Console                    9     31,112 K
WhatsApp.exe                 13976 Console                    9     15,288 K
RuntimeBroker.exe              548 Console                    9     23,840 K
msedge.exe                    5572 Console                    9     77,744 K
msedge.exe                     312 Console                    9      7,992 K
msedge.exe                    9388 Console                    9     31,344 K
msedge.exe                   14644 Console                    9     34,248 K
msedge.exe                    5676 Console                    9     15,580 K
msedge.exe                   15812 Console                    9     54,396 K
msedge.exe                    5508 Console                    9     43,880 K
msedge.exe                    8456 Console                    9     22,024 K
eclipse.exe                  11404 Console                    9   3,11,928 K
java.exe                      9556 Console                    9   1,22,348 K
conhost.exe                  11288 Console                    9      5,876 K
WmiPrvSE.exe                  7232 Services                   0     18,304 K
chrome.exe                    8792 Console                    9   3,08,756 K
chrome.exe                   15896 Console                    9     10,324 K
chrome.exe                   18076 Console                    9   3,13,300 K
chrome.exe                   11392 Console                    9     62,008 K
chrome.exe                    9916 Console                    9     22,388 K
chrome.exe                    3052 Console                    9     74,360 K
chrome.exe                   17388 Console                    9     81,020 K
chrome.exe                   14540 Console                    9   1,38,956 K
chrome.exe                    8048 Console                    9     25,000 K
svchost.exe                   9668 Services                   0     28,548 K
svchost.exe                  11736 Console                    9     11,056 K
SystemSettingsBroker.exe     12832 Console                    9     33,044 K
svchost.exe                  15912 Console                    9     12,664 K
svchost.exe                   1336 Services                   0      9,108 K
chrome.exe                    7224 Console                    9     48,940 K
WmiPrvSE.exe                  8304 Services                   0     11,696 K
PhoneExperienceHost.exe      16964 Console                    9   1,38,788 K
svchost.exe                  15320 Services                   0      7,472 K
taskhostw.exe                 9804 Console                    9     16,124 K
cortex-xdr-payload.exe       13364 Services                   0   1,08,116 K
conhost.exe                   6364 Services                   0     13,868 K
SystemSettings.exe           16492 Console                    9     35,208 K
svchost.exe                   9496 Services                   0      8,032 K
chrome.exe                    8364 Console                    9     66,572 K
chrome.exe                    2120 Console                    9     19,792 K
chrome.exe                   10624 Console                    9   3,13,004 K
audiodg.exe                   2296 Services                   0     13,576 K
notepad++.exe                 5148 Console                    9     55,360 K
chrome.exe                    2528 Console                    9   1,09,004 K
chrome.exe                    9676 Console                    9     19,552 K
chrome.exe                   12700 Console                    9   1,18,264 K
chrome.exe                   14420 Console                    9     47,760 K
RuntimeBroker.exe            11384 Console                    9     37,864 K
Video.UI.exe                 13128 Console                    9   1,57,232 K
svchost.exe                  10464 Services                   0     17,568 K
chrome.exe                    9776 Console                    9     31,460 K
SearchProtocolHost.exe       15072 Services                   0     14,624 K
SearchFilterHost.exe         14688 Services                   0     10,084 K
dllhost.exe                   1404 Console                    9      7,684 K
smartscreen.exe               6864 Console                    9     23,864 K
cmd.exe                      10308 Console                    9      6,112 K
conhost.exe                  13908 Console                    9     16,472 K
tasklist.exe                 15892 Console                    9      8,792 K
